id,dataset,manager,package,verdict,exit_code,duration_ms,message,expected,incident
npm:typescript,npm-top,npm,typescript,passthrough-or-allow,0,342,,auto,
npm:babel,npm-top,npm,babel,category-d-blocked,2,271,"yieldOS bloqueó babel: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:body-parser,npm-top,npm,body-parser,passthrough-or-allow,0,612,yieldOS instaló body-parser con advertencias (ver log),auto,
npm:@babel/core,npm-top,npm,@babel/core,category-d-blocked,2,276,"yieldOS bloqueó @babel/core: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:nest,npm-top,npm,nest,passthrough-or-allow,0,670,,auto,
npm:@reduxjs/toolkit,npm-top,npm,@reduxjs/toolkit,passthrough-or-allow,0,1624,,auto,
npm:cors,npm-top,npm,cors,passthrough-or-allow,0,842,,auto,
npm:@babel/preset-react,npm-top,npm,@babel/preset-react,category-d-blocked,2,369,"yieldOS bloqueó @babel/preset-react: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@babel/preset-typescript,npm-top,npm,@babel/preset-typescript,category-d-blocked,2,432,"yieldOS bloqueó @babel/preset-typescript: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@biomejs/biome,npm-top,npm,@biomejs/biome,passthrough-or-allow,0,348,,auto,
npm:morgan,npm-top,npm,morgan,passthrough-or-allow,0,922,yieldOS instaló morgan con advertencias (ver log),auto,
npm:prettier,npm-top,npm,prettier,passthrough-or-allow,0,380,,auto,
npm:@babel/preset-env,npm-top,npm,@babel/preset-env,category-d-blocked,2,570,"yieldOS bloqueó @babel/preset-env: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:biome,npm-top,npm,biome,passthrough-or-allow,0,402,,auto,
npm:eslint,npm-top,npm,eslint,passthrough-or-allow,0,427,,auto,
npm:compression,npm-top,npm,compression,passthrough-or-allow,0,1068,,auto,
npm:stylelint,npm-top,npm,stylelint,category-d-blocked,2,282,"yieldOS bloqueó stylelint: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:webpack,npm-top,npm,webpack,passthrough-or-allow,0,277,,auto,
npm:cookie-parser,npm-top,npm,cookie-parser,passthrough-or-allow,0,1011,,auto,
npm:webpack-cli,npm-top,npm,webpack-cli,category-d-blocked,2,304,"yieldOS bloqueó webpack-cli: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:helmet,npm-top,npm,helmet,passthrough-or-allow,0,1184,,auto,
npm:vite,npm-top,npm,vite,passthrough-or-allow,0,254,,auto,
npm:rollup,npm-top,npm,rollup,passthrough-or-allow,0,259,,auto,
npm:esbuild,npm-top,npm,esbuild,passthrough-or-allow,0,274,,auto,
npm:parcel,npm-top,npm,parcel,passthrough-or-allow,0,354,,auto,
npm:swc,npm-top,npm,swc,passthrough-or-allow,0,354,,auto,
npm:@koa/router,npm-top,npm,@koa/router,build-script-not-approved,2,1704,yieldOS bloqueó @koa/router: requiere aprobación de build scripts,auto,
npm:@swc/core,npm-top,npm,@swc/core,category-d-blocked,2,366,"yieldOS bloqueó @swc/core: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:jest,npm-top,npm,jest,passthrough-or-allow,0,339,,auto,
npm:@types/jest,npm-top,npm,@types/jest,category-d-blocked,2,339,"yieldOS bloqueó @types/jest: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:vitest,npm-top,npm,vitest,passthrough-or-allow,0,365,,auto,
npm:playwright,npm-top,npm,playwright,passthrough-or-allow,0,256,,auto,
npm:mocha,npm-top,npm,mocha,passthrough-or-allow,0,321,,auto,
npm:ts-jest,npm-top,npm,ts-jest,category-d-blocked,2,348,"yieldOS bloqueó ts-jest: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@nestjs/core,npm-top,npm,@nestjs/core,build-script-not-approved,2,1563,yieldOS bloqueó @nestjs/core: requiere aprobación de build scripts,auto,
npm:@playwright/test,npm-top,npm,@playwright/test,category-d-blocked,2,219,"yieldOS bloqueó @playwright/test: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:puppeteer,npm-top,npm,puppeteer,category-d-blocked,2,221,"yieldOS bloqueó puppeteer: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:cypress,npm-top,npm,cypress,passthrough-or-allow,0,238,,auto,
npm:puppeteer-core,npm-top,npm,puppeteer-core,category-d-blocked,2,226,"yieldOS bloqueó puppeteer-core: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@hapi/hapi,npm-top,npm,@hapi/hapi,passthrough-or-allow,0,1662,,auto,
npm:turbopack,npm-top,npm,turbopack,category-a-rewrite,2,572,yieldOS realizó una optimización de la instalación de turbopack,auto,
npm:selenium-webdriver,npm-top,npm,selenium-webdriver,category-d-blocked,2,242,"yieldOS bloqueó selenium-webdriver: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:axios,npm-top,npm,axios,passthrough-or-allow,0,254,,auto,
npm:got,npm-top,npm,got,passthrough-or-allow,0,306,,auto,
npm:node-fetch,npm-top,npm,node-fetch,native-suggest,2,371,yieldOS sustituyó node-fetch por API nativa: fetch,auto,
npm:isomorphic-fetch,npm-top,npm,isomorphic-fetch,native-suggest,2,380,yieldOS sustituyó isomorphic-fetch por API nativa: fetch,auto,
npm:tsup,npm-top,npm,tsup,passthrough-or-allow,0,875,yieldOS instaló tsup con advertencias (ver log),auto,
npm:ky,npm-top,npm,ky,passthrough-or-allow,0,417,,auto,
npm:undici,npm-top,npm,undici,passthrough-or-allow,0,417,,auto,
npm:chai,npm-top,npm,chai,passthrough-or-allow,0,836,,auto,
npm:lodash.clonedeep,npm-top,npm,lodash.clonedeep,native-suggest,2,471,yieldOS sustituyó lodash.clonedeep por API nativa: structuredClone,auto,
npm:lodash,npm-top,npm,lodash,passthrough-or-allow,0,882,yieldOS instaló lodash con advertencias (ver log),auto,
npm:lodash.pick,npm-top,npm,lodash.pick,passthrough-or-allow,0,746,yieldOS instaló lodash.pick con advertencias (ver log),auto,
npm:lodash.debounce,npm-top,npm,lodash.debounce,passthrough-or-allow,0,853,,auto,
npm:cross-fetch,npm-top,npm,cross-fetch,build-script-not-approved,2,912,yieldOS bloqueó cross-fetch: requiere aprobación de build scripts,auto,
npm:lodash.omit,npm-top,npm,lodash.omit,passthrough-or-allow,0,1019,,auto,
npm:lodash.merge,npm-top,npm,lodash.merge,passthrough-or-allow,0,1212,yieldOS instaló lodash.merge con advertencias (ver log),auto,
npm:lodash.throttle,npm-top,npm,lodash.throttle,passthrough-or-allow,0,1145,,auto,
npm:lodash.isequal,npm-top,npm,lodash.isequal,passthrough-or-allow,0,1239,,auto,
npm:underscore,npm-top,npm,underscore,passthrough-or-allow,0,1074,yieldOS instaló underscore con advertencias (ver log),auto,
npm:prisma,npm-top,npm,prisma,passthrough-or-allow,0,574,,auto,
npm:dayjs,npm-top,npm,dayjs,passthrough-or-allow,0,1056,,auto,
npm:sequelize,npm-top,npm,sequelize,passthrough-or-allow,0,312,,auto,
npm:mongoose,npm-top,npm,mongoose,passthrough-or-allow,0,272,,auto,
npm:typeorm,npm-top,npm,typeorm,passthrough-or-allow,0,444,,auto,
npm:drizzle-orm,npm-top,npm,drizzle-orm,passthrough-or-allow,0,539,,auto,
npm:mysql2,npm-top,npm,mysql2,passthrough-or-allow,0,354,,auto,
npm:ramda,npm-top,npm,ramda,build-script-not-approved,2,1584,yieldOS bloqueó ramda: requiere aprobación de build scripts,auto,
npm:mysql,npm-top,npm,mysql,category-d-blocked,2,365,"yieldOS bloqueó mysql: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:pg,npm-top,npm,pg,passthrough-or-allow,0,592,,auto,
npm:ioredis,npm-top,npm,ioredis,passthrough-or-allow,0,381,,auto,
npm:redis,npm-top,npm,redis,passthrough-or-allow,0,421,,auto,
npm:@prisma/client,npm-top,npm,@prisma/client,passthrough-or-allow,0,1053,,auto,
npm:moment-timezone,npm-top,npm,moment-timezone,passthrough-or-allow,0,1415,yieldOS instaló moment-timezone con advertencias (ver log),auto,
npm:better-sqlite3,npm-top,npm,better-sqlite3,passthrough-or-allow,0,510,,auto,
npm:mongodb,npm-top,npm,mongodb,passthrough-or-allow,0,645,,auto,
npm:zod,npm-top,npm,zod,passthrough-or-allow,0,375,,auto,
npm:sqlite3,npm-top,npm,sqlite3,passthrough-or-allow,0,562,,auto,
npm:kysely,npm-top,npm,kysely,passthrough-or-allow,0,404,,auto,
npm:moment,npm-top,npm,moment,passthrough-or-allow,0,1968,yieldOS instaló moment con advertencias (ver log),auto,
npm:knex,npm-top,npm,knex,passthrough-or-allow,0,441,,auto,
npm:ajv,npm-top,npm,ajv,category-d-blocked,2,306,"yieldOS bloqueó ajv: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:luxon,npm-top,npm,luxon,build-script-not-approved,2,1925,yieldOS bloqueó luxon: requiere aprobación de build scripts,auto,
npm:colors,npm-top,npm,colors,denylist-match,2,333,yieldOS bloqueó colors: self-sabotage attack 2022; corrupted output infinite loop,auto,
npm:@js-joda/core,npm-top,npm,@js-joda/core,passthrough-or-allow,0,2022,,auto,
npm:chalk,npm-top,npm,chalk,native-suggest,2,491,yieldOS sustituyó chalk por API nativa: util.styleText(),auto,
npm:picocolors,npm-top,npm,picocolors,category-a-rewrite,2,485,yieldOS realizó una optimización de la instalación de picocolors,auto,
npm:kleur,npm-top,npm,kleur,category-a-rewrite,2,1011,yieldOS realizó una optimización de la instalación de kleur,auto,
npm:sinon,npm-top,npm,sinon,passthrough-or-allow,0,3851,,auto,
npm:ora,npm-top,npm,ora,passthrough-or-allow,0,1205,,auto,
npm:yup,npm-top,npm,yup,passthrough-or-allow,0,1697,,auto,
npm:valibot,npm-top,npm,valibot,passthrough-or-allow,0,1403,yieldOS instaló valibot con advertencias (ver log),auto,
npm:@types/yup,npm-top,npm,@types/yup,category-a-rewrite,2,1524,yieldOS realizó una optimización de la instalación de @types/yup,auto,
npm:arg,npm-top,npm,arg,category-a-rewrite,2,576,yieldOS realizó una optimización de la instalación de arg,auto,
npm:minimist,npm-top,npm,minimist,passthrough-or-allow,0,617,yieldOS instaló minimist con advertencias (ver log),auto,
npm:boxen,npm-top,npm,boxen,passthrough-or-allow,0,1415,,auto,
npm:commander,npm-top,npm,commander,passthrough-or-allow,0,1286,,auto,
npm:log-symbols,npm-top,npm,log-symbols,passthrough-or-allow,0,1315,,auto,
npm:cli-progress,npm-top,npm,cli-progress,passthrough-or-allow,0,1500,,auto,
npm:remeda,npm-top,npm,remeda,passthrough-or-allow,0,4004,,auto,
npm:joi,npm-top,npm,joi,passthrough-or-allow,0,2357,,auto,
npm:nanoid,npm-top,npm,nanoid,native-suggest,2,493,yieldOS sustituyó nanoid por API nativa: crypto.randomUUID() or custom Uint8Array,auto,
npm:uuid,npm-top,npm,uuid,native-suggest,2,495,yieldOS sustituyó uuid por API nativa: crypto.randomUUID(),auto,
npm:yargs,npm-top,npm,yargs,build-script-not-approved,2,1803,yieldOS bloqueó yargs: requiere aprobación de build scripts,auto,
npm:commander-js,npm-top,npm,commander-js,category-a-rewrite,2,1084,yieldOS realizó una optimización de la instalación de commander-js,auto,
npm:prompts,npm-top,npm,prompts,passthrough-or-allow,0,1047,,auto,
npm:cuid,npm-top,npm,cuid,category-a-rewrite,2,742,yieldOS realizó una optimización de la instalación de cuid,auto,
npm:shortid,npm-top,npm,shortid,category-a-rewrite,2,823,yieldOS realizó una optimización de la instalación de shortid,auto,
npm:ulid,npm-top,npm,ulid,passthrough-or-allow,0,819,,auto,
npm:enquirer,npm-top,npm,enquirer,passthrough-or-allow,0,1219,,auto,
npm:bytes,npm-top,npm,bytes,category-a-rewrite,2,606,yieldOS realizó una optimización de la instalación de bytes,auto,
npm:ms,npm-top,npm,ms,category-a-rewrite,2,808,yieldOS realizó una optimización de la instalación de ms,auto,
npm:inquirer,npm-top,npm,inquirer,passthrough-or-allow,0,1761,,auto,
npm:@commander-js/extra-typings,npm-top,npm,@commander-js/extra-typings,passthrough-or-allow,0,1802,,auto,
npm:eventemitter3,npm-top,npm,eventemitter3,category-a-rewrite,2,585,yieldOS realizó una optimización de la instalación de eventemitter3,auto,
npm:tiny-emitter,npm-top,npm,tiny-emitter,passthrough-or-allow,0,591,,auto,
npm:rambda,npm-top,npm,rambda,passthrough-or-allow,0,5390,,auto,
npm:events,npm-top,npm,events,passthrough-or-allow,0,656,,auto,
npm:pretty-bytes,npm-top,npm,pretty-bytes,category-a-rewrite,2,1118,yieldOS realizó una optimización de la instalación de pretty-bytes,auto,
npm:@inquirer/prompts,npm-top,npm,@inquirer/prompts,passthrough-or-allow,0,1987,,auto,
npm:p-limit,npm-top,npm,p-limit,category-a-rewrite,2,761,yieldOS realizó una optimización de la instalación de p-limit,auto,
npm:mitt,npm-top,npm,mitt,category-a-rewrite,2,1072,yieldOS realizó una optimización de la instalación de mitt,auto,
npm:date-fns,npm-top,npm,date-fns,passthrough-or-allow,0,5747,,auto,
npm:filesize,npm-top,npm,filesize,passthrough-or-allow,0,1347,,auto,
npm:p-map,npm-top,npm,p-map,category-a-rewrite,2,690,yieldOS realizó una optimización de la instalación de p-map,auto,
npm:humanize-duration,npm-top,npm,humanize-duration,passthrough-or-allow,0,1290,,auto,
npm:p-queue,npm-top,npm,p-queue,passthrough-or-allow,0,886,,auto,
npm:p-retry,npm-top,npm,p-retry,category-a-rewrite,2,808,yieldOS realizó una optimización de la instalación de p-retry,auto,
npm:cross-env,npm-top,npm,cross-env,native-suggest,2,354,yieldOS sustituyó cross-env por API nativa: node --env-file=.env or shell prefix,auto,
npm:p-timeout,npm-top,npm,p-timeout,category-a-rewrite,2,861,yieldOS realizó una optimización de la instalación de p-timeout,auto,
npm:p-throttle,npm-top,npm,p-throttle,category-a-rewrite,2,824,yieldOS realizó una optimización de la instalación de p-throttle,auto,
npm:dotenv,npm-top,npm,dotenv,native-suggest,2,514,yieldOS sustituyó dotenv por API nativa: node --env-file=.env,auto,
npm:rimraf,npm-top,npm,rimraf,native-suggest,2,523,"yieldOS sustituyó rimraf por API nativa: fs.rm({recursive: true, force: true})",auto,
npm:node-cache,npm-top,npm,node-cache,passthrough-or-allow,0,866,,auto,
npm:lru-cache,npm-top,npm,lru-cache,build-script-not-approved,2,961,yieldOS bloqueó lru-cache: requiere aprobación de build scripts,auto,
npm:async,npm-top,npm,async,passthrough-or-allow,0,1030,yieldOS instaló async con advertencias (ver log),auto,
npm:mkdirp,npm-top,npm,mkdirp,native-suggest,2,601,yieldOS sustituyó mkdirp por API nativa: fs.mkdir({recursive: true}),auto,
npm:keyv,npm-top,npm,keyv,passthrough-or-allow,0,893,,auto,
npm:graceful-fs,npm-top,npm,graceful-fs,category-a-rewrite,2,865,yieldOS realizó una optimización de la instalación de graceful-fs,auto,
npm:dotenv-expand,npm-top,npm,dotenv-expand,category-a-rewrite,2,909,yieldOS realizó una optimización de la instalación de dotenv-expand,auto,
npm:fs-extra,npm-top,npm,fs-extra,passthrough-or-allow,0,1155,,auto,
npm:trash,npm-top,npm,trash,passthrough-or-allow,0,863,,auto,
npm:bluebird,npm-top,npm,bluebird,passthrough-or-allow,0,1728,,auto,
npm:tempy,npm-top,npm,tempy,passthrough-or-allow,0,1045,,auto,
npm:tiny-glob,npm-top,npm,tiny-glob,passthrough-or-allow,0,747,,auto,
npm:micromatch,npm-top,npm,micromatch,passthrough-or-allow,0,858,yieldOS instaló micromatch con advertencias (ver log),auto,
npm:del,npm-top,npm,del,passthrough-or-allow,0,1306,,auto,
npm:find-up,npm-top,npm,find-up,passthrough-or-allow,0,1222,,auto,
npm:glob,npm-top,npm,glob,build-script-not-approved,2,1053,yieldOS bloqueó glob: requiere aprobación de build scripts,auto,
npm:find-up-cli,npm-top,npm,find-up-cli,passthrough-or-allow,0,1179,,auto,
npm:picomatch,npm-top,npm,picomatch,passthrough-or-allow,0,852,yieldOS instaló picomatch con advertencias (ver log),auto,
npm:fast-glob,npm-top,npm,fast-glob,passthrough-or-allow,0,1214,,auto,
npm:chokidar,npm-top,npm,chokidar,passthrough-or-allow,0,966,,auto,
npm:http-proxy,npm-top,npm,http-proxy,passthrough-or-allow,0,610,,auto,
npm:globby,npm-top,npm,globby,passthrough-or-allow,0,1284,,auto,
npm:query-string,npm-top,npm,query-string,native-suggest,2,379,yieldOS sustituyó query-string por API nativa: URLSearchParams,auto,
npm:fb-watchman,npm-top,npm,fb-watchman,category-a-rewrite,2,896,yieldOS realizó una optimización de la instalación de fb-watchman,auto,
npm:cookie,npm-top,npm,cookie,build-script-not-approved,2,548,yieldOS bloqueó cookie: requiere aprobación de build scripts,auto,
npm:http-proxy-middleware,npm-top,npm,http-proxy-middleware,passthrough-or-allow,0,722,,auto,
npm:watchpack,npm-top,npm,watchpack,passthrough-or-allow,0,931,,auto,
npm:minimatch,npm-top,npm,minimatch,build-script-not-approved,2,1289,yieldOS bloqueó minimatch: requiere aprobación de build scripts,auto,
npm:qs,npm-top,npm,qs,native-suggest,2,539,yieldOS sustituyó qs por API nativa: URLSearchParams,auto,
npm:cookie-parser,npm-top,npm,cookie-parser,passthrough-or-allow,0,766,,auto,
npm:fast-querystring,npm-top,npm,fast-querystring,category-a-rewrite,2,664,yieldOS realizó una optimización de la instalación de fast-querystring,auto,
npm:proxy-agent,npm-top,npm,proxy-agent,passthrough-or-allow,0,1057,,auto,
npm:js-yaml,npm-top,npm,js-yaml,passthrough-or-allow,0,433,yieldOS instaló js-yaml con advertencias (ver log),auto,
npm:yaml,npm-top,npm,yaml,passthrough-or-allow,0,691,yieldOS instaló yaml con advertencias (ver log),auto,
npm:papaparse,npm-top,npm,papaparse,passthrough-or-allow,0,812,yieldOS instaló papaparse con advertencias (ver log),auto,
npm:fast-csv,npm-top,npm,fast-csv,passthrough-or-allow,0,1015,yieldOS instaló fast-csv con advertencias (ver log),auto,
npm:tough-cookie,npm-top,npm,tough-cookie,passthrough-or-allow,0,1518,yieldOS instaló tough-cookie con advertencias (ver log),auto,
npm:csv-parse,npm-top,npm,csv-parse,passthrough-or-allow,0,1333,yieldOS instaló csv-parse con advertencias (ver log),auto,
npm:markdown-it,npm-top,npm,markdown-it,passthrough-or-allow,0,1066,yieldOS instaló markdown-it con advertencias (ver log),auto,
npm:remark,npm-top,npm,remark,passthrough-or-allow,0,1172,,auto,
npm:csv-stringify,npm-top,npm,csv-stringify,passthrough-or-allow,0,1464,,auto,
npm:mdx-bundler,npm-top,npm,mdx-bundler,category-d-blocked,2,885,"yieldOS bloqueó mdx-bundler: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:remark-parse,npm-top,npm,remark-parse,passthrough-or-allow,0,1234,,auto,
npm:jsdom,npm-top,npm,jsdom,category-d-blocked,2,655,"yieldOS bloqueó jsdom: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:rehype,npm-top,npm,rehype,passthrough-or-allow,0,1162,,auto,
npm:form-data,npm-top,npm,form-data,category-d-blocked,2,364,"yieldOS bloqueó form-data: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:micromark,npm-top,npm,micromark,passthrough-or-allow,0,1120,,auto,
npm:formidable,npm-top,npm,formidable,category-d-blocked,2,430,"yieldOS bloqueó formidable: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@iarna/toml,npm-top,npm,@iarna/toml,build-script-not-approved,2,1544,yieldOS bloqueó @iarna/toml: requiere aprobación de build scripts,auto,
npm:marked,npm-top,npm,marked,passthrough-or-allow,0,1696,yieldOS instaló marked con advertencias (ver log),auto,
npm:cheerio,npm-top,npm,cheerio,build-script-not-approved,2,1090,yieldOS bloqueó cheerio: requiere aprobación de build scripts,auto,
npm:node-html-parser,npm-top,npm,node-html-parser,build-script-not-approved,2,936,yieldOS bloqueó node-html-parser: requiere aprobación de build scripts,auto,
npm:parse5,npm-top,npm,parse5,passthrough-or-allow,0,780,,auto,
npm:graphql,npm-top,npm,graphql,category-d-blocked,2,430,"yieldOS bloqueó graphql: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:busboy,npm-top,npm,busboy,passthrough-or-allow,0,856,,auto,
npm:multer,npm-top,npm,multer,passthrough-or-allow,0,849,yieldOS instaló multer con advertencias (ver log),auto,
npm:ws,npm-top,npm,ws,passthrough-or-allow,0,1090,yieldOS instaló ws con advertencias (ver log),auto,
npm:@google-cloud/pubsub,npm-top,npm,@google-cloud/pubsub,passthrough-or-allow,0,528,,auto,
npm:redis-cli,npm-top,npm,redis-cli,category-d-blocked,2,804,"yieldOS bloqueó redis-cli: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:engine.io,npm-top,npm,engine.io,passthrough-or-allow,0,1265,yieldOS instaló engine.io con advertencias (ver log),auto,
npm:apollo-server-express,npm-top,npm,apollo-server-express,category-d-blocked,2,973,"yieldOS bloqueó apollo-server-express: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:engine.io-client,npm-top,npm,engine.io-client,passthrough-or-allow,0,1599,yieldOS instaló engine.io-client con advertencias (ver log),auto,
npm:@aws-sdk/client-s3,npm-top,npm,@aws-sdk/client-s3,passthrough-or-allow,0,738,,auto,
npm:@aws-sdk/client-sqs,npm-top,npm,@aws-sdk/client-sqs,passthrough-or-allow,0,651,,auto,
npm:graphql-tag,npm-top,npm,graphql-tag,passthrough-or-allow,0,1653,,auto,
npm:amqplib,npm-top,npm,amqplib,passthrough-or-allow,0,1311,,auto,
npm:@mdx-js/mdx,npm-top,npm,@mdx-js/mdx,passthrough-or-allow,0,3072,,auto,
npm:passport,npm-top,npm,passport,passthrough-or-allow,0,543,,auto,
npm:socket.io,npm-top,npm,socket.io,passthrough-or-allow,0,2351,yieldOS instaló socket.io con advertencias (ver log),auto,
npm:socket.io-client,npm-top,npm,socket.io-client,passthrough-or-allow,0,2372,,auto,
npm:passport-local,npm-top,npm,passport-local,category-d-blocked,2,501,"yieldOS bloqueó passport-local: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:passport-github2,npm-top,npm,passport-github2,category-d-blocked,2,450,"yieldOS bloqueó passport-github2: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:passport-jwt,npm-top,npm,passport-jwt,category-d-blocked,2,509,"yieldOS bloqueó passport-jwt: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:passport-google-oauth20,npm-top,npm,passport-google-oauth20,category-d-blocked,2,531,"yieldOS bloqueó passport-google-oauth20: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:next-auth,npm-top,npm,next-auth,passthrough-or-allow,0,323,,auto,
npm:nodemailer,npm-top,npm,nodemailer,category-d-blocked,2,1320,"yieldOS bloqueó nodemailer: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:passport-facebook,npm-top,npm,passport-facebook,category-d-blocked,2,409,"yieldOS bloqueó passport-facebook: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:nodemailer-smtp-transport,npm-top,npm,nodemailer-smtp-transport,passthrough-or-allow,0,1253,,auto,
npm:node-cron,npm-top,npm,node-cron,passthrough-or-allow,0,1609,,auto,
npm:cron,npm-top,npm,cron,passthrough-or-allow,0,1607,,auto,
npm:lucia,npm-top,npm,lucia,passthrough-or-allow,0,647,,auto,
npm:@apollo/server,npm-top,npm,@apollo/server,passthrough-or-allow,0,2820,,auto,
npm:@auth0/auth0-react,npm-top,npm,@auth0/auth0-react,passthrough-or-allow,0,500,,auto,
npm:bcryptjs,npm-top,npm,bcryptjs,passthrough-or-allow,0,486,,auto,
npm:bcrypt,npm-top,npm,bcrypt,passthrough-or-allow,0,515,,auto,
npm:scrypt-js,npm-top,npm,scrypt-js,category-d-blocked,2,367,"yieldOS bloqueó scrypt-js: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:argon2,npm-top,npm,argon2,passthrough-or-allow,0,432,,auto,
npm:@clerk/clerk-sdk-node,npm-top,npm,@clerk/clerk-sdk-node,passthrough-or-allow,0,660,,auto,
npm:argon2-browser,npm-top,npm,argon2-browser,category-d-blocked,2,413,"yieldOS bloqueó argon2-browser: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:urql,npm-top,npm,urql,passthrough-or-allow,0,2812,,auto,
npm:jose,npm-top,npm,jose,passthrough-or-allow,0,300,,auto,
npm:jsonwebtoken,npm-top,npm,jsonwebtoken,passthrough-or-allow,0,307,,auto,
