id,dataset,manager,package,verdict,exit_code,duration_ms,message,expected,incident
npm:cookie-parser,npm-top,npm,cookie-parser,verification-passed,0,912,,auto,
npm:helmet,npm-top,npm,helmet,verification-passed,0,1025,,auto,
npm:@babel/preset-react,npm-top,npm,@babel/preset-react,category-d-blocked,2,510,"yieldOS bloqueó @babel/preset-react: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@babel/preset-typescript,npm-top,npm,@babel/preset-typescript,category-d-blocked,2,508,"yieldOS bloqueó @babel/preset-typescript: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:eslint,npm-top,npm,eslint,allowlist-match,0,557,,auto,
npm:prettier,npm-top,npm,prettier,allowlist-match,0,552,,auto,
npm:biome,npm-top,npm,biome,allowlist-match,0,515,,auto,
npm:stylelint,npm-top,npm,stylelint,category-d-blocked,2,331,"yieldOS bloqueó stylelint: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:webpack,npm-top,npm,webpack,allowlist-match,0,331,,auto,
npm:@biomejs/biome,npm-top,npm,@biomejs/biome,allowlist-match,0,527,,auto,
npm:webpack-cli,npm-top,npm,webpack-cli,category-d-blocked,2,423,"yieldOS bloqueó webpack-cli: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@koa/router,npm-top,npm,@koa/router,build-script-not-approved,2,1713,yieldOS bloqueó @koa/router: requiere aprobación de build scripts,auto,
npm:vite,npm-top,npm,vite,allowlist-match,0,430,,auto,
npm:esbuild,npm-top,npm,esbuild,allowlist-match,0,420,,auto,
npm:parcel,npm-top,npm,parcel,allowlist-match,0,405,,auto,
npm:@swc/core,npm-top,npm,@swc/core,allowlist-match,0,400,,auto,
npm:swc,npm-top,npm,swc,allowlist-match,0,402,,auto,
npm:rollup,npm-top,npm,rollup,allowlist-match,0,497,,auto,
npm:jest,npm-top,npm,jest,allowlist-match,0,317,,auto,
npm:@types/jest,npm-top,npm,@types/jest,category-d-blocked,2,338,"yieldOS bloqueó @types/jest: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:vitest,npm-top,npm,vitest,allowlist-match,0,393,,auto,
npm:mocha,npm-top,npm,mocha,allowlist-match,0,327,,auto,
npm:@hapi/hapi,npm-top,npm,@hapi/hapi,verification-passed,0,1695,,auto,
npm:ts-jest,npm-top,npm,ts-jest,category-d-blocked,2,357,"yieldOS bloqueó ts-jest: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:playwright,npm-top,npm,playwright,allowlist-match,0,313,,auto,
npm:@playwright/test,npm-top,npm,@playwright/test,category-d-blocked,2,308,"yieldOS bloqueó @playwright/test: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:puppeteer-core,npm-top,npm,puppeteer-core,category-d-blocked,2,291,"yieldOS bloqueó puppeteer-core: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:cypress,npm-top,npm,cypress,allowlist-match,0,318,,auto,
npm:puppeteer,npm-top,npm,puppeteer,category-d-blocked,2,429,"yieldOS bloqueó puppeteer: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:turbopack,npm-top,npm,turbopack,category-a-rewrite,2,752,yieldOS realizó una optimización de la instalación de turbopack,auto,
npm:selenium-webdriver,npm-top,npm,selenium-webdriver,category-d-blocked,2,454,"yieldOS bloqueó selenium-webdriver: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:got,npm-top,npm,got,allowlist-match,0,426,,auto,
npm:chai,npm-top,npm,chai,verification-passed,0,657,,auto,
npm:axios,npm-top,npm,axios,allowlist-match,0,492,,auto,
npm:tsup,npm-top,npm,tsup,verification-passed,0,1020,yieldOS instaló tsup con advertencias (ver log),auto,
npm:ky,npm-top,npm,ky,allowlist-match,0,594,,auto,
npm:node-fetch,npm-top,npm,node-fetch,native-suggest,2,720,yieldOS sustituyó node-fetch por API nativa: fetch,auto,
npm:undici,npm-top,npm,undici,allowlist-match,0,733,,auto,
npm:lodash.clonedeep,npm-top,npm,lodash.clonedeep,native-suggest,2,582,yieldOS sustituyó lodash.clonedeep por API nativa: structuredClone,auto,
npm:isomorphic-fetch,npm-top,npm,isomorphic-fetch,native-suggest,2,723,yieldOS sustituyó isomorphic-fetch por API nativa: fetch,auto,
npm:lodash.merge,npm-top,npm,lodash.merge,verification-passed,0,1000,yieldOS instaló lodash.merge con advertencias (ver log),auto,
npm:cross-fetch,npm-top,npm,cross-fetch,build-script-not-approved,2,1062,yieldOS bloqueó cross-fetch: requiere aprobación de build scripts,auto,
npm:lodash.omit,npm-top,npm,lodash.omit,verification-passed,0,1018,,auto,
npm:lodash.throttle,npm-top,npm,lodash.throttle,verification-passed,0,1092,,auto,
npm:lodash.debounce,npm-top,npm,lodash.debounce,verification-passed,0,1261,,auto,
npm:lodash,npm-top,npm,lodash,verification-passed,0,1741,yieldOS instaló lodash con advertencias (ver log),auto,
npm:lodash.pick,npm-top,npm,lodash.pick,verification-passed,0,1544,yieldOS instaló lodash.pick con advertencias (ver log),auto,
npm:sinon,npm-top,npm,sinon,verification-passed,0,2428,,auto,
npm:ramda,npm-top,npm,ramda,build-script-not-approved,2,2021,yieldOS bloqueó ramda: requiere aprobación de build scripts,auto,
npm:underscore,npm-top,npm,underscore,verification-passed,0,1801,yieldOS instaló underscore con advertencias (ver log),auto,
npm:prisma,npm-top,npm,prisma,allowlist-match,0,1090,,auto,
npm:drizzle-orm,npm-top,npm,drizzle-orm,allowlist-match,0,723,,auto,
npm:moment-timezone,npm-top,npm,moment-timezone,verification-passed,0,1567,yieldOS instaló moment-timezone con advertencias (ver log),auto,
npm:typeorm,npm-top,npm,typeorm,allowlist-match,0,703,,auto,
npm:moment,npm-top,npm,moment,verification-passed,0,1802,yieldOS instaló moment con advertencias (ver log),auto,
npm:rambda,npm-top,npm,rambda,verification-passed,0,2135,,auto,
npm:lodash.isequal,npm-top,npm,lodash.isequal,verification-passed,0,2612,,auto,
npm:@prisma/client,npm-top,npm,@prisma/client,allowlist-match,0,1226,,auto,
npm:sequelize,npm-top,npm,sequelize,allowlist-match,0,518,,auto,
npm:mongoose,npm-top,npm,mongoose,allowlist-match,0,534,,auto,
npm:mysql,npm-top,npm,mysql,category-d-blocked,2,368,"yieldOS bloqueó mysql: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:pg,npm-top,npm,pg,allowlist-match,0,476,,auto,
npm:mysql2,npm-top,npm,mysql2,allowlist-match,0,475,,auto,
npm:redis,npm-top,npm,redis,allowlist-match,0,526,,auto,
npm:ioredis,npm-top,npm,ioredis,allowlist-match,0,500,,auto,
npm:mongodb,npm-top,npm,mongodb,allowlist-match,0,517,,auto,
npm:sqlite3,npm-top,npm,sqlite3,allowlist-match,0,518,,auto,
npm:@nestjs/core,npm-top,npm,@nestjs/core,build-script-not-approved,2,5158,yieldOS bloqueó @nestjs/core: requiere aprobación de build scripts,auto,
npm:luxon,npm-top,npm,luxon,build-script-not-approved,2,2129,yieldOS bloqueó luxon: requiere aprobación de build scripts,auto,
npm:knex,npm-top,npm,knex,allowlist-match,0,505,,auto,
npm:better-sqlite3,npm-top,npm,better-sqlite3,allowlist-match,0,506,,auto,
npm:zod,npm-top,npm,zod,allowlist-match,0,502,,auto,
npm:@js-joda/core,npm-top,npm,@js-joda/core,verification-passed,0,2189,,auto,
npm:remeda,npm-top,npm,remeda,verification-passed,0,3081,,auto,
npm:ajv,npm-top,npm,ajv,category-d-blocked,2,364,"yieldOS bloqueó ajv: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:kysely,npm-top,npm,kysely,allowlist-match,0,799,,auto,
npm:chalk,npm-top,npm,chalk,native-suggest,2,452,yieldOS sustituyó chalk por API nativa: util.styleText(),auto,
npm:picocolors,npm-top,npm,picocolors,category-a-rewrite,2,552,yieldOS realizó una optimización de la instalación de picocolors,auto,
npm:yup,npm-top,npm,yup,verification-passed,0,1090,,auto,
npm:kleur,npm-top,npm,kleur,category-a-rewrite,2,655,yieldOS realizó una optimización de la instalación de kleur,auto,
npm:colors,npm-top,npm,colors,denylist-match,2,673,yieldOS bloqueó colors: self-sabotage attack 2022; corrupted output infinite loop,auto,
npm:valibot,npm-top,npm,valibot,verification-passed,0,856,yieldOS instaló valibot con advertencias (ver log),auto,
npm:io-ts,npm-top,npm,io-ts,verification-passed,0,995,,auto,
npm:@types/yup,npm-top,npm,@types/yup,category-a-rewrite,2,978,yieldOS realizó una optimización de la instalación de @types/yup,auto,
npm:dayjs,npm-top,npm,dayjs,verification-passed,0,3772,,auto,
npm:ora,npm-top,npm,ora,verification-passed,0,981,,auto,
npm:boxen,npm-top,npm,boxen,verification-passed,0,973,,auto,
npm:log-symbols,npm-top,npm,log-symbols,verification-passed,0,958,,auto,
npm:cli-progress,npm-top,npm,cli-progress,verification-passed,0,1107,,auto,
npm:arg,npm-top,npm,arg,category-a-rewrite,2,847,yieldOS realizó una optimización de la instalación de arg,auto,
npm:uuid,npm-top,npm,uuid,native-suggest,2,464,yieldOS sustituyó uuid por API nativa: crypto.randomUUID(),auto,
npm:minimist,npm-top,npm,minimist,verification-passed,0,1033,yieldOS instaló minimist con advertencias (ver log),auto,
npm:commander-js,npm-top,npm,commander-js,category-a-rewrite,2,995,yieldOS realizó una optimización de la instalación de commander-js,auto,
npm:inquirer,npm-top,npm,inquirer,verification-passed,0,1277,,auto,
npm:joi,npm-top,npm,joi,verification-passed,0,2442,,auto,
npm:nanoid,npm-top,npm,nanoid,native-suggest,2,1016,yieldOS sustituyó nanoid por API nativa: crypto.randomUUID() or custom Uint8Array,auto,
npm:shortid,npm-top,npm,shortid,category-a-rewrite,2,1143,yieldOS realizó una optimización de la instalación de shortid,auto,
npm:yargs,npm-top,npm,yargs,build-script-not-approved,2,1905,yieldOS bloqueó yargs: requiere aprobación de build scripts,auto,
npm:prompts,npm-top,npm,prompts,verification-passed,0,1438,,auto,
npm:enquirer,npm-top,npm,enquirer,verification-passed,0,1291,,auto,
npm:commander,npm-top,npm,commander,verification-passed,0,2092,,auto,
npm:pretty-bytes,npm-top,npm,pretty-bytes,category-a-rewrite,2,843,yieldOS realizó una optimización de la instalación de pretty-bytes,auto,
npm:ms,npm-top,npm,ms,category-a-rewrite,2,1178,yieldOS realizó una optimización de la instalación de ms,auto,
npm:bytes,npm-top,npm,bytes,category-a-rewrite,2,1147,yieldOS realizó una optimización de la instalación de bytes,auto,
npm:@commander-js/extra-typings,npm-top,npm,@commander-js/extra-typings,verification-passed,0,2265,,auto,
npm:mitt,npm-top,npm,mitt,category-a-rewrite,2,922,yieldOS realizó una optimización de la instalación de mitt,auto,
npm:ulid,npm-top,npm,ulid,verification-passed,0,1597,,auto,
npm:p-limit,npm-top,npm,p-limit,category-a-rewrite,2,783,yieldOS realizó una optimización de la instalación de p-limit,auto,
npm:eventemitter3,npm-top,npm,eventemitter3,category-a-rewrite,2,799,yieldOS realizó una optimización de la instalación de eventemitter3,auto,
npm:humanize-duration,npm-top,npm,humanize-duration,verification-passed,0,1123,,auto,
npm:events,npm-top,npm,events,verification-passed,0,829,,auto,
npm:tiny-emitter,npm-top,npm,tiny-emitter,verification-passed,0,993,,auto,
npm:p-map,npm-top,npm,p-map,category-a-rewrite,2,954,yieldOS realizó una optimización de la instalación de p-map,auto,
npm:p-queue,npm-top,npm,p-queue,verification-passed,0,1171,,auto,
npm:p-retry,npm-top,npm,p-retry,category-a-rewrite,2,980,yieldOS realizó una optimización de la instalación de p-retry,auto,
npm:dotenv,npm-top,npm,dotenv,native-suggest,2,579,yieldOS sustituyó dotenv por API nativa: node --env-file=.env,auto,
npm:@inquirer/prompts,npm-top,npm,@inquirer/prompts,verification-passed,0,2820,,auto,
npm:filesize,npm-top,npm,filesize,verification-passed,0,1759,,auto,
npm:cross-env,npm-top,npm,cross-env,native-suggest,2,493,yieldOS sustituyó cross-env por API nativa: node --env-file=.env or shell prefix,auto,
npm:p-throttle,npm-top,npm,p-throttle,category-a-rewrite,2,876,yieldOS realizó una optimización de la instalación de p-throttle,auto,
npm:p-timeout,npm-top,npm,p-timeout,category-a-rewrite,2,1138,yieldOS realizó una optimización de la instalación de p-timeout,auto,
npm:async,npm-top,npm,async,verification-passed,0,1073,yieldOS instaló async con advertencias (ver log),auto,
npm:node-cache,npm-top,npm,node-cache,verification-passed,0,1060,,auto,
npm:keyv,npm-top,npm,keyv,verification-passed,0,1093,,auto,
npm:mkdirp,npm-top,npm,mkdirp,native-suggest,2,584,yieldOS sustituyó mkdirp por API nativa: fs.mkdir({recursive: true}),auto,
npm:rimraf,npm-top,npm,rimraf,native-suggest,2,594,"yieldOS sustituyó rimraf por API nativa: fs.rm({recursive: true, force: true})",auto,
npm:bluebird,npm-top,npm,bluebird,verification-passed,0,1450,,auto,
npm:lru-cache,npm-top,npm,lru-cache,build-script-not-approved,2,1421,yieldOS bloqueó lru-cache: requiere aprobación de build scripts,auto,
npm:graceful-fs,npm-top,npm,graceful-fs,category-a-rewrite,2,872,yieldOS realizó una optimización de la instalación de graceful-fs,auto,
npm:dotenv-expand,npm-top,npm,dotenv-expand,category-a-rewrite,2,1079,yieldOS realizó una optimización de la instalación de dotenv-expand,auto,
npm:find-up,npm-top,npm,find-up,verification-passed,0,774,,auto,
npm:tempy,npm-top,npm,tempy,verification-passed,0,849,,auto,
npm:fs-extra,npm-top,npm,fs-extra,verification-passed,0,1090,,auto,
npm:fast-glob,npm-top,npm,fast-glob,verification-passed,0,589,,auto,
npm:find-up-cli,npm-top,npm,find-up-cli,verification-passed,0,795,,auto,
npm:tiny-glob,npm-top,npm,tiny-glob,verification-passed,0,792,,auto,
npm:del,npm-top,npm,del,verification-passed,0,1362,,auto,
npm:fb-watchman,npm-top,npm,fb-watchman,category-a-rewrite,2,594,yieldOS realizó una optimización de la instalación de fb-watchman,auto,
npm:trash,npm-top,npm,trash,verification-passed,0,1445,,auto,
npm:http-proxy,npm-top,npm,http-proxy,allowlist-match,0,556,,auto,
npm:date-fns,npm-top,npm,date-fns,verification-passed,0,8013,,auto,
npm:picomatch,npm-top,npm,picomatch,verification-passed,0,800,yieldOS instaló picomatch con advertencias (ver log),auto,
npm:micromatch,npm-top,npm,micromatch,verification-passed,0,1036,yieldOS instaló micromatch con advertencias (ver log),auto,
npm:glob,npm-top,npm,glob,build-script-not-approved,2,1302,yieldOS bloqueó glob: requiere aprobación de build scripts,auto,
npm:watchpack,npm-top,npm,watchpack,verification-passed,0,905,,auto,
npm:globby,npm-top,npm,globby,verification-passed,0,1308,,auto,
npm:query-string,npm-top,npm,query-string,native-suggest,2,399,yieldOS sustituyó query-string por API nativa: URLSearchParams,auto,
npm:http-proxy-middleware,npm-top,npm,http-proxy-middleware,allowlist-match,0,864,,auto,
npm:chokidar,npm-top,npm,chokidar,verification-passed,0,1157,,auto,
npm:cookie,npm-top,npm,cookie,build-script-not-approved,2,638,yieldOS bloqueó cookie: requiere aprobación de build scripts,auto,
npm:cuid,npm-top,npm,cuid,category-a-rewrite,2,4551,yieldOS realizó una optimización de la instalación de cuid,auto,
npm:qs,npm-top,npm,qs,native-suggest,2,689,yieldOS sustituyó qs por API nativa: URLSearchParams,auto,
npm:proxy-agent,npm-top,npm,proxy-agent,verification-passed,0,983,,auto,
npm:cookie-parser,npm-top,npm,cookie-parser,verification-passed,0,878,,auto,
npm:minimatch,npm-top,npm,minimatch,build-script-not-approved,2,1586,yieldOS bloqueó minimatch: requiere aprobación de build scripts,auto,
npm:fast-querystring,npm-top,npm,fast-querystring,category-a-rewrite,2,929,yieldOS realizó una optimización de la instalación de fast-querystring,auto,
npm:tough-cookie,npm-top,npm,tough-cookie,verification-passed,0,1056,yieldOS instaló tough-cookie con advertencias (ver log),auto,
npm:fast-csv,npm-top,npm,fast-csv,verification-passed,0,843,yieldOS instaló fast-csv con advertencias (ver log),auto,
npm:js-yaml,npm-top,npm,js-yaml,verification-passed,0,694,yieldOS instaló js-yaml con advertencias (ver log),auto,
npm:csv-parse,npm-top,npm,csv-parse,verification-passed,0,1181,yieldOS instaló csv-parse con advertencias (ver log),auto,
npm:remark,npm-top,npm,remark,verification-passed,0,841,,auto,
npm:yaml,npm-top,npm,yaml,verification-passed,0,1034,yieldOS instaló yaml con advertencias (ver log),auto,
npm:markdown-it,npm-top,npm,markdown-it,verification-passed,0,1041,yieldOS instaló markdown-it con advertencias (ver log),auto,
npm:jsdom,npm-top,npm,jsdom,category-d-blocked,2,479,"yieldOS bloqueó jsdom: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:csv-stringify,npm-top,npm,csv-stringify,verification-passed,0,1372,,auto,
npm:papaparse,npm-top,npm,papaparse,verification-passed,0,1367,yieldOS instaló papaparse con advertencias (ver log),auto,
npm:mdx-bundler,npm-top,npm,mdx-bundler,category-d-blocked,2,969,"yieldOS bloqueó mdx-bundler: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:cheerio,npm-top,npm,cheerio,build-script-not-approved,2,950,yieldOS bloqueó cheerio: requiere aprobación de build scripts,auto,
npm:micromark,npm-top,npm,micromark,verification-passed,0,1297,,auto,
npm:formidable,npm-top,npm,formidable,category-d-blocked,2,678,"yieldOS bloqueó formidable: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:form-data,npm-top,npm,form-data,category-d-blocked,2,700,"yieldOS bloqueó form-data: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:remark-parse,npm-top,npm,remark-parse,verification-passed,0,1471,,auto,
npm:marked,npm-top,npm,marked,verification-passed,0,1863,yieldOS instaló marked con advertencias (ver log),auto,
npm:@iarna/toml,npm-top,npm,@iarna/toml,build-script-not-approved,2,1995,yieldOS bloqueó @iarna/toml: requiere aprobación de build scripts,auto,
npm:node-html-parser,npm-top,npm,node-html-parser,build-script-not-approved,2,1394,yieldOS bloqueó node-html-parser: requiere aprobación de build scripts,auto,
npm:parse5,npm-top,npm,parse5,verification-passed,0,1223,,auto,
npm:graphql,npm-top,npm,graphql,category-d-blocked,2,545,"yieldOS bloqueó graphql: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:apollo-server-express,npm-top,npm,apollo-server-express,category-d-blocked,2,407,"yieldOS bloqueó apollo-server-express: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:busboy,npm-top,npm,busboy,verification-passed,0,1235,,auto,
npm:multer,npm-top,npm,multer,verification-passed,0,1272,yieldOS instaló multer con advertencias (ver log),auto,
npm:redis-cli,npm-top,npm,redis-cli,category-d-blocked,2,495,"yieldOS bloqueó redis-cli: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:socket.io,npm-top,npm,socket.io,verification-passed,0,1475,yieldOS instaló socket.io con advertencias (ver log),auto,
npm:@mdx-js/mdx,npm-top,npm,@mdx-js/mdx,verification-passed,0,2405,,auto,
npm:engine.io,npm-top,npm,engine.io,verification-passed,0,1283,yieldOS instaló engine.io con advertencias (ver log),auto,
npm:@aws-sdk/client-s3,npm-top,npm,@aws-sdk/client-s3,allowlist-match,0,491,,auto,
npm:engine.io-client,npm-top,npm,engine.io-client,verification-passed,0,1456,yieldOS instaló engine.io-client con advertencias (ver log),auto,
npm:ws,npm-top,npm,ws,verification-passed,0,1917,yieldOS instaló ws con advertencias (ver log),auto,
npm:@google-cloud/pubsub,npm-top,npm,@google-cloud/pubsub,allowlist-match,0,749,,auto,
npm:@aws-sdk/client-sqs,npm-top,npm,@aws-sdk/client-sqs,allowlist-match,0,563,,auto,
npm:passport-jwt,npm-top,npm,passport-jwt,category-d-blocked,2,364,"yieldOS bloqueó passport-jwt: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:socket.io-client,npm-top,npm,socket.io-client,verification-passed,0,1976,,auto,
npm:graphql-tag,npm-top,npm,graphql-tag,verification-passed,0,1547,,auto,
npm:node-cron,npm-top,npm,node-cron,verification-passed,0,962,,auto,
npm:nodemailer,npm-top,npm,nodemailer,category-d-blocked,2,1304,"yieldOS bloqueó nodemailer: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:passport-local,npm-top,npm,passport-local,category-d-blocked,2,1111,"yieldOS bloqueó passport-local: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:passport,npm-top,npm,passport,allowlist-match,0,1145,,auto,
npm:amqplib,npm-top,npm,amqplib,verification-passed,0,1910,,auto,
npm:passport-google-oauth20,npm-top,npm,passport-google-oauth20,category-d-blocked,2,930,"yieldOS bloqueó passport-google-oauth20: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:passport-github2,npm-top,npm,passport-github2,category-d-blocked,2,775,"yieldOS bloqueó passport-github2: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:passport-facebook,npm-top,npm,passport-facebook,category-d-blocked,2,786,"yieldOS bloqueó passport-facebook: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:nodemailer-smtp-transport,npm-top,npm,nodemailer-smtp-transport,verification-passed,0,1397,,auto,
npm:lucia,npm-top,npm,lucia,allowlist-match,0,553,,auto,
npm:next-auth,npm-top,npm,next-auth,allowlist-match,0,699,,auto,
npm:urql,npm-top,npm,urql,verification-passed,0,2470,,auto,
npm:@clerk/clerk-sdk-node,npm-top,npm,@clerk/clerk-sdk-node,allowlist-match,0,367,,auto,
npm:@auth0/auth0-react,npm-top,npm,@auth0/auth0-react,allowlist-match,0,462,,auto,
npm:bcryptjs,npm-top,npm,bcryptjs,allowlist-match,0,436,,auto,
npm:argon2-browser,npm-top,npm,argon2-browser,category-d-blocked,2,463,"yieldOS bloqueó argon2-browser: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:bcrypt,npm-top,npm,bcrypt,allowlist-match,0,491,,auto,
npm:cron,npm-top,npm,cron,verification-passed,0,1872,,auto,
npm:scrypt-js,npm-top,npm,scrypt-js,category-d-blocked,2,468,"yieldOS bloqueó scrypt-js: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:jose,npm-top,npm,jose,allowlist-match,0,439,,auto,
npm:argon2,npm-top,npm,argon2,allowlist-match,0,503,,auto,
npm:jsonwebtoken,npm-top,npm,jsonwebtoken,allowlist-match,0,472,,auto,
npm:@apollo/server,npm-top,npm,@apollo/server,verification-passed,0,3089,,auto,
npm:express-jwt,npm-top,npm,express-jwt,category-d-blocked,2,331,"yieldOS bloqueó express-jwt: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:scrypt-kdf,npm-top,npm,scrypt-kdf,category-d-blocked,2,571,"yieldOS bloqueó scrypt-kdf: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:crypto-js,npm-top,npm,crypto-js,category-d-blocked,2,271,"yieldOS bloqueó crypto-js: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:node-forge,npm-top,npm,node-forge,category-d-blocked,2,288,"yieldOS bloqueó node-forge: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:jws,npm-top,npm,jws,verification-passed,0,502,yieldOS instaló jws con advertencias (ver log),auto,
npm:csurf,npm-top,npm,csurf,category-d-blocked,2,298,"yieldOS bloqueó csurf: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:csrf,npm-top,npm,csrf,category-d-blocked,2,311,"yieldOS bloqueó csrf: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:express-rate-limit,npm-top,npm,express-rate-limit,category-d-blocked,2,304,"yieldOS bloqueó express-rate-limit: categoría crítica, requiere aprobación del equipo de seguridad",auto,
