id,dataset,manager,package,verdict,exit_code,duration_ms,message,expected,incident
npm:body-parser,npm-top,npm,body-parser,passthrough-or-allow,0,1386,yieldOS instaló body-parser con advertencias (ver log),auto,
npm:helmet,npm-top,npm,helmet,passthrough-or-allow,0,1402,,auto,
npm:biome,npm-top,npm,biome,category-d-blocked,2,468,"yieldOS bloqueó biome: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:stylelint,npm-top,npm,stylelint,category-d-blocked,2,366,"yieldOS bloqueó stylelint: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:prettier,npm-top,npm,prettier,category-d-blocked,2,578,"yieldOS bloqueó prettier: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@biomejs/biome,npm-top,npm,@biomejs/biome,category-d-blocked,2,403,"yieldOS bloqueó @biomejs/biome: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:webpack,npm-top,npm,webpack,category-d-blocked,2,304,"yieldOS bloqueó webpack: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@koa/router,npm-top,npm,@koa/router,build-script-not-approved,2,1951,yieldOS bloqueó @koa/router: requiere aprobación de build scripts,auto,
npm:webpack-cli,npm-top,npm,webpack-cli,category-d-blocked,2,281,"yieldOS bloqueó webpack-cli: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:vite,npm-top,npm,vite,category-d-blocked,2,267,"yieldOS bloqueó vite: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:esbuild,npm-top,npm,esbuild,category-d-blocked,2,253,"yieldOS bloqueó esbuild: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:rollup,npm-top,npm,rollup,category-d-blocked,2,292,"yieldOS bloqueó rollup: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:parcel,npm-top,npm,parcel,category-d-blocked,2,265,"yieldOS bloqueó parcel: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:swc,npm-top,npm,swc,category-d-blocked,2,300,"yieldOS bloqueó swc: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@swc/core,npm-top,npm,@swc/core,category-d-blocked,2,359,"yieldOS bloqueó @swc/core: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:vitest,npm-top,npm,vitest,category-d-blocked,2,379,"yieldOS bloqueó vitest: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@babel/preset-react,npm-top,npm,@babel/preset-react,category-d-blocked,2,1111,"yieldOS bloqueó @babel/preset-react: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:jest,npm-top,npm,jest,category-d-blocked,2,397,"yieldOS bloqueó jest: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@types/jest,npm-top,npm,@types/jest,category-d-blocked,2,389,"yieldOS bloqueó @types/jest: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:mocha,npm-top,npm,mocha,category-d-blocked,2,378,"yieldOS bloqueó mocha: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:ts-jest,npm-top,npm,ts-jest,category-d-blocked,2,395,"yieldOS bloqueó ts-jest: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@hapi/hapi,npm-top,npm,@hapi/hapi,passthrough-or-allow,0,2067,,auto,
npm:playwright,npm-top,npm,playwright,category-d-blocked,2,338,"yieldOS bloqueó playwright: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@playwright/test,npm-top,npm,@playwright/test,category-d-blocked,2,283,"yieldOS bloqueó @playwright/test: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:puppeteer,npm-top,npm,puppeteer,category-d-blocked,2,260,"yieldOS bloqueó puppeteer: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:cypress,npm-top,npm,cypress,category-d-blocked,2,281,"yieldOS bloqueó cypress: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:turbopack,npm-top,npm,turbopack,category-a-rewrite,2,695,yieldOS realizó una optimización de la instalación de turbopack,auto,
npm:selenium-webdriver,npm-top,npm,selenium-webdriver,category-d-blocked,2,447,"yieldOS bloqueó selenium-webdriver: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:puppeteer-core,npm-top,npm,puppeteer-core,category-d-blocked,2,660,"yieldOS bloqueó puppeteer-core: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:isomorphic-fetch,npm-top,npm,isomorphic-fetch,native-suggest,2,762,yieldOS sustituyó isomorphic-fetch por API nativa: fetch,auto,
npm:node-fetch,npm-top,npm,node-fetch,native-suggest,2,904,yieldOS sustituyó node-fetch por API nativa: fetch,auto,
npm:lodash.clonedeep,npm-top,npm,lodash.clonedeep,native-suggest,2,783,yieldOS sustituyó lodash.clonedeep por API nativa: structuredClone,auto,
npm:chai,npm-top,npm,chai,passthrough-or-allow,0,2311,,auto,
npm:lodash,npm-top,npm,lodash,passthrough-or-allow,0,1761,yieldOS instaló lodash con advertencias (ver log),auto,
npm:lodash.debounce,npm-top,npm,lodash.debounce,passthrough-or-allow,0,1164,,auto,
npm:lodash.merge,npm-top,npm,lodash.merge,passthrough-or-allow,0,1670,yieldOS instaló lodash.merge con advertencias (ver log),auto,
npm:tsup,npm-top,npm,tsup,passthrough-or-allow,0,3032,yieldOS instaló tsup con advertencias (ver log),auto,
npm:lodash.isequal,npm-top,npm,lodash.isequal,passthrough-or-allow,0,1175,,auto,
npm:ky,npm-top,npm,ky,build-script-not-approved,2,2647,yieldOS bloqueó ky: requiere aprobación de build scripts,auto,
npm:cross-fetch,npm-top,npm,cross-fetch,build-script-not-approved,2,2548,yieldOS bloqueó cross-fetch: requiere aprobación de build scripts,auto,
npm:lodash.throttle,npm-top,npm,lodash.throttle,passthrough-or-allow,0,1872,,auto,
npm:lodash.omit,npm-top,npm,lodash.omit,passthrough-or-allow,0,1045,,auto,
npm:lodash.pick,npm-top,npm,lodash.pick,passthrough-or-allow,0,1064,yieldOS instaló lodash.pick con advertencias (ver log),auto,
npm:got,npm-top,npm,got,build-script-not-approved,2,3317,yieldOS bloqueó got: requiere aprobación de build scripts,auto,
npm:axios,npm-top,npm,axios,passthrough-or-allow,0,3575,yieldOS instaló axios con advertencias (ver log),auto,
npm:underscore,npm-top,npm,underscore,passthrough-or-allow,0,1061,yieldOS instaló underscore con advertencias (ver log),auto,
npm:moment,npm-top,npm,moment,passthrough-or-allow,0,1326,yieldOS instaló moment con advertencias (ver log),auto,
npm:@prisma/client,npm-top,npm,@prisma/client,category-d-blocked,2,541,"yieldOS bloqueó @prisma/client: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:typeorm,npm-top,npm,typeorm,category-d-blocked,2,431,"yieldOS bloqueó typeorm: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:drizzle-orm,npm-top,npm,drizzle-orm,category-d-blocked,2,459,"yieldOS bloqueó drizzle-orm: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:moment-timezone,npm-top,npm,moment-timezone,passthrough-or-allow,0,1611,yieldOS instaló moment-timezone con advertencias (ver log),auto,
npm:prisma,npm-top,npm,prisma,category-d-blocked,2,1089,"yieldOS bloqueó prisma: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:luxon,npm-top,npm,luxon,build-script-not-approved,2,1657,yieldOS bloqueó luxon: requiere aprobación de build scripts,auto,
npm:mysql,npm-top,npm,mysql,category-d-blocked,2,451,"yieldOS bloqueó mysql: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:remeda,npm-top,npm,remeda,passthrough-or-allow,0,3096,,auto,
npm:mysql2,npm-top,npm,mysql2,category-d-blocked,2,547,"yieldOS bloqueó mysql2: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:sequelize,npm-top,npm,sequelize,category-d-blocked,2,647,"yieldOS bloqueó sequelize: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:pg,npm-top,npm,pg,category-d-blocked,2,691,"yieldOS bloqueó pg: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:redis,npm-top,npm,redis,category-d-blocked,2,331,"yieldOS bloqueó redis: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:ioredis,npm-top,npm,ioredis,category-d-blocked,2,300,"yieldOS bloqueó ioredis: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@js-joda/core,npm-top,npm,@js-joda/core,passthrough-or-allow,0,2176,,auto,
npm:sqlite3,npm-top,npm,sqlite3,category-d-blocked,2,413,"yieldOS bloqueó sqlite3: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:mongodb,npm-top,npm,mongodb,category-d-blocked,2,447,"yieldOS bloqueó mongodb: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@nestjs/core,npm-top,npm,@nestjs/core,build-script-not-approved,2,7837,yieldOS bloqueó @nestjs/core: requiere aprobación de build scripts,auto,
npm:better-sqlite3,npm-top,npm,better-sqlite3,category-d-blocked,2,564,"yieldOS bloqueó better-sqlite3: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:ramda,npm-top,npm,ramda,build-script-not-approved,2,3915,yieldOS bloqueó ramda: requiere aprobación de build scripts,auto,
npm:ajv,npm-top,npm,ajv,category-d-blocked,2,353,"yieldOS bloqueó ajv: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:dayjs,npm-top,npm,dayjs,passthrough-or-allow,0,3755,,auto,
npm:rambda,npm-top,npm,rambda,passthrough-or-allow,0,3875,,auto,
npm:chalk,npm-top,npm,chalk,native-suggest,2,818,yieldOS sustituyó chalk por API nativa: util.styleText(),auto,
npm:yup,npm-top,npm,yup,passthrough-or-allow,0,1836,,auto,
npm:io-ts,npm-top,npm,io-ts,passthrough-or-allow,0,1784,,auto,
npm:@types/yup,npm-top,npm,@types/yup,category-a-rewrite,2,1665,yieldOS realizó una optimización de la instalación de @types/yup,auto,
npm:picocolors,npm-top,npm,picocolors,category-a-rewrite,2,1355,yieldOS realizó una optimización de la instalación de picocolors,auto,
npm:kleur,npm-top,npm,kleur,category-a-rewrite,2,792,yieldOS realizó una optimización de la instalación de kleur,auto,
npm:valibot,npm-top,npm,valibot,passthrough-or-allow,0,2402,yieldOS instaló valibot con advertencias (ver log),auto,
npm:colors,npm-top,npm,colors,denylist-match,2,939,yieldOS bloqueó colors: self-sabotage attack 2022; corrupted output infinite loop,auto,
npm:ora,npm-top,npm,ora,passthrough-or-allow,0,791,,auto,
npm:log-symbols,npm-top,npm,log-symbols,passthrough-or-allow,0,696,,auto,
npm:joi,npm-top,npm,joi,passthrough-or-allow,0,3352,,auto,
npm:commander,npm-top,npm,commander,passthrough-or-allow,0,1200,,auto,
npm:boxen,npm-top,npm,boxen,passthrough-or-allow,0,1864,,auto,
npm:commander-js,npm-top,npm,commander-js,category-a-rewrite,2,800,yieldOS realizó una optimización de la instalación de commander-js,auto,
npm:cli-progress,npm-top,npm,cli-progress,passthrough-or-allow,0,1993,,auto,
npm:arg,npm-top,npm,arg,category-a-rewrite,2,1105,yieldOS realizó una optimización de la instalación de arg,auto,
npm:minimist,npm-top,npm,minimist,passthrough-or-allow,0,1337,yieldOS instaló minimist con advertencias (ver log),auto,
npm:knex,npm-top,npm,knex,passthrough-or-allow,0,4607,yieldOS instaló knex con advertencias (ver log),auto,
npm:undici,npm-top,npm,undici,build-script-not-approved,2,10229,yieldOS bloqueó undici: requiere aprobación de build scripts,auto,
npm:sinon,npm-top,npm,sinon,passthrough-or-allow,0,10709,,auto,
npm:uuid,npm-top,npm,uuid,native-suggest,2,473,yieldOS sustituyó uuid por API nativa: crypto.randomUUID(),auto,
npm:nanoid,npm-top,npm,nanoid,native-suggest,2,386,yieldOS sustituyó nanoid por API nativa: crypto.randomUUID() or custom Uint8Array,auto,
npm:prompts,npm-top,npm,prompts,passthrough-or-allow,0,1065,,auto,
npm:@commander-js/extra-typings,npm-top,npm,@commander-js/extra-typings,passthrough-or-allow,0,1675,,auto,
npm:cuid,npm-top,npm,cuid,category-a-rewrite,2,1004,yieldOS realizó una optimización de la instalación de cuid,auto,
npm:ms,npm-top,npm,ms,category-a-rewrite,2,967,yieldOS realizó una optimización de la instalación de ms,auto,
npm:shortid,npm-top,npm,shortid,category-a-rewrite,2,1125,yieldOS realizó una optimización de la instalación de shortid,auto,
npm:ulid,npm-top,npm,ulid,passthrough-or-allow,0,1091,,auto,
npm:enquirer,npm-top,npm,enquirer,passthrough-or-allow,0,1735,,auto,
npm:bytes,npm-top,npm,bytes,category-a-rewrite,2,862,yieldOS realizó una optimización de la instalación de bytes,auto,
npm:pretty-bytes,npm-top,npm,pretty-bytes,category-a-rewrite,2,792,yieldOS realizó una optimización de la instalación de pretty-bytes,auto,
npm:inquirer,npm-top,npm,inquirer,passthrough-or-allow,0,2358,,auto,
npm:filesize,npm-top,npm,filesize,passthrough-or-allow,0,950,,auto,
npm:tiny-emitter,npm-top,npm,tiny-emitter,passthrough-or-allow,0,997,,auto,
npm:yargs,npm-top,npm,yargs,build-script-not-approved,2,4077,yieldOS bloqueó yargs: requiere aprobación de build scripts,auto,
npm:p-limit,npm-top,npm,p-limit,category-a-rewrite,2,588,yieldOS realizó una optimización de la instalación de p-limit,auto,
npm:eventemitter3,npm-top,npm,eventemitter3,category-a-rewrite,2,972,yieldOS realizó una optimización de la instalación de eventemitter3,auto,
npm:humanize-duration,npm-top,npm,humanize-duration,passthrough-or-allow,0,1411,,auto,
npm:@inquirer/prompts,npm-top,npm,@inquirer/prompts,passthrough-or-allow,0,3119,,auto,
npm:mitt,npm-top,npm,mitt,category-a-rewrite,2,1482,yieldOS realizó una optimización de la instalación de mitt,auto,
npm:p-timeout,npm-top,npm,p-timeout,category-a-rewrite,2,584,yieldOS realizó una optimización de la instalación de p-timeout,auto,
npm:p-map,npm-top,npm,p-map,category-a-rewrite,2,744,yieldOS realizó una optimización de la instalación de p-map,auto,
npm:events,npm-top,npm,events,passthrough-or-allow,0,1382,,auto,
npm:p-retry,npm-top,npm,p-retry,category-a-rewrite,2,656,yieldOS realizó una optimización de la instalación de p-retry,auto,
npm:kysely,npm-top,npm,kysely,passthrough-or-allow,0,7698,yieldOS instaló kysely con advertencias (ver log),auto,
npm:p-queue,npm-top,npm,p-queue,passthrough-or-allow,0,1189,,auto,
npm:p-throttle,npm-top,npm,p-throttle,category-a-rewrite,2,781,yieldOS realizó una optimización de la instalación de p-throttle,auto,
npm:dotenv,npm-top,npm,dotenv,native-suggest,2,478,yieldOS sustituyó dotenv por API nativa: node --env-file=.env,auto,
npm:cross-env,npm-top,npm,cross-env,native-suggest,2,445,yieldOS sustituyó cross-env por API nativa: node --env-file=.env or shell prefix,auto,
npm:rimraf,npm-top,npm,rimraf,native-suggest,2,711,"yieldOS sustituyó rimraf por API nativa: fs.rm({recursive: true, force: true})",auto,
npm:mkdirp,npm-top,npm,mkdirp,native-suggest,2,526,yieldOS sustituyó mkdirp por API nativa: fs.mkdir({recursive: true}),auto,
npm:keyv,npm-top,npm,keyv,passthrough-or-allow,0,1084,,auto,
npm:bluebird,npm-top,npm,bluebird,passthrough-or-allow,0,1682,,auto,
npm:async,npm-top,npm,async,passthrough-or-allow,0,1453,yieldOS instaló async con advertencias (ver log),auto,
npm:dotenv-expand,npm-top,npm,dotenv-expand,category-a-rewrite,2,1215,yieldOS realizó una optimización de la instalación de dotenv-expand,auto,
npm:graceful-fs,npm-top,npm,graceful-fs,category-a-rewrite,2,1160,yieldOS realizó una optimización de la instalación de graceful-fs,auto,
npm:node-cache,npm-top,npm,node-cache,passthrough-or-allow,0,1463,,auto,
npm:del,npm-top,npm,del,passthrough-or-allow,0,1031,,auto,
npm:fs-extra,npm-top,npm,fs-extra,passthrough-or-allow,0,1480,,auto,
npm:lru-cache,npm-top,npm,lru-cache,build-script-not-approved,2,1802,yieldOS bloqueó lru-cache: requiere aprobación de build scripts,auto,
npm:find-up,npm-top,npm,find-up,passthrough-or-allow,0,731,,auto,
npm:tempy,npm-top,npm,tempy,passthrough-or-allow,0,1003,,auto,
npm:tiny-glob,npm-top,npm,tiny-glob,passthrough-or-allow,0,661,,auto,
npm:fast-glob,npm-top,npm,fast-glob,passthrough-or-allow,0,805,,auto,
npm:trash,npm-top,npm,trash,passthrough-or-allow,0,1245,,auto,
npm:find-up-cli,npm-top,npm,find-up-cli,passthrough-or-allow,0,1109,,auto,
npm:http-proxy,npm-top,npm,http-proxy,verification-failed,2,413,yieldOS bloqueó http-proxy: instalación de tipo vendored-code no permitida sin allowlist explícita,auto,
npm:fb-watchman,npm-top,npm,fb-watchman,category-a-rewrite,2,533,yieldOS realizó una optimización de la instalación de fb-watchman,auto,
npm:globby,npm-top,npm,globby,passthrough-or-allow,0,1252,,auto,
npm:http-proxy-middleware,npm-top,npm,http-proxy-middleware,verification-failed,2,433,yieldOS bloqueó http-proxy-middleware: instalación de tipo vendored-code no permitida sin allowlist explícita,auto,
npm:minimatch,npm-top,npm,minimatch,build-script-not-approved,2,1203,yieldOS bloqueó minimatch: requiere aprobación de build scripts,auto,
npm:chokidar,npm-top,npm,chokidar,passthrough-or-allow,0,1107,,auto,
npm:glob,npm-top,npm,glob,build-script-not-approved,2,1700,yieldOS bloqueó glob: requiere aprobación de build scripts,auto,
npm:proxy-agent,npm-top,npm,proxy-agent,passthrough-or-allow,0,771,,auto,
npm:watchpack,npm-top,npm,watchpack,passthrough-or-allow,0,1127,,auto,
npm:cookie,npm-top,npm,cookie,build-script-not-approved,2,642,yieldOS bloqueó cookie: requiere aprobación de build scripts,auto,
npm:picomatch,npm-top,npm,picomatch,passthrough-or-allow,0,1473,yieldOS instaló picomatch con advertencias (ver log),auto,
npm:qs,npm-top,npm,qs,native-suggest,2,553,yieldOS sustituyó qs por API nativa: URLSearchParams,auto,
npm:query-string,npm-top,npm,query-string,native-suggest,2,401,yieldOS sustituyó query-string por API nativa: URLSearchParams,auto,
npm:cookie-parser,npm-top,npm,cookie-parser,passthrough-or-allow,0,680,,auto,
npm:hono,npm-top,npm,hono,passthrough-or-allow,0,18338,yieldOS instaló hono con advertencias (ver log),auto,
npm:fast-querystring,npm-top,npm,fast-querystring,category-a-rewrite,2,364,yieldOS realizó una optimización de la instalación de fast-querystring,auto,
npm:tough-cookie,npm-top,npm,tough-cookie,passthrough-or-allow,0,1017,yieldOS instaló tough-cookie con advertencias (ver log),auto,
npm:fast-csv,npm-top,npm,fast-csv,passthrough-or-allow,0,1226,yieldOS instaló fast-csv con advertencias (ver log),auto,
npm:remark,npm-top,npm,remark,passthrough-or-allow,0,1123,,auto,
npm:csv-stringify,npm-top,npm,csv-stringify,passthrough-or-allow,0,1344,,auto,
npm:remark-parse,npm-top,npm,remark-parse,passthrough-or-allow,0,1074,,auto,
npm:csv-parse,npm-top,npm,csv-parse,passthrough-or-allow,0,1835,yieldOS instaló csv-parse con advertencias (ver log),auto,
npm:papaparse,npm-top,npm,papaparse,passthrough-or-allow,0,1658,yieldOS instaló papaparse con advertencias (ver log),auto,
npm:mongoose,npm-top,npm,mongoose,passthrough-or-allow,0,13321,yieldOS instaló mongoose con advertencias (ver log),auto,
npm:micromatch,npm-top,npm,micromatch,passthrough-or-allow,0,3331,yieldOS instaló micromatch con advertencias (ver log),auto,
npm:mdx-bundler,npm-top,npm,mdx-bundler,category-d-blocked,2,299,"yieldOS bloqueó mdx-bundler: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:js-yaml,npm-top,npm,js-yaml,passthrough-or-allow,0,1838,yieldOS instaló js-yaml con advertencias (ver log),auto,
npm:rehype,npm-top,npm,rehype,passthrough-or-allow,0,794,,auto,
npm:@iarna/toml,npm-top,npm,@iarna/toml,build-script-not-approved,2,1972,yieldOS bloqueó @iarna/toml: requiere aprobación de build scripts,auto,
npm:date-fns,npm-top,npm,date-fns,passthrough-or-allow,0,15590,,auto,
npm:jsdom,npm-top,npm,jsdom,category-d-blocked,2,412,"yieldOS bloqueó jsdom: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:micromark,npm-top,npm,micromark,passthrough-or-allow,0,813,,auto,
npm:yaml,npm-top,npm,yaml,passthrough-or-allow,0,2106,yieldOS instaló yaml con advertencias (ver log),auto,
npm:form-data,npm-top,npm,form-data,category-d-blocked,2,363,"yieldOS bloqueó form-data: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:formidable,npm-top,npm,formidable,category-d-blocked,2,330,"yieldOS bloqueó formidable: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:markdown-it,npm-top,npm,markdown-it,passthrough-or-allow,0,2198,yieldOS instaló markdown-it con advertencias (ver log),auto,
npm:cheerio,npm-top,npm,cheerio,build-script-not-approved,2,708,yieldOS bloqueó cheerio: requiere aprobación de build scripts,auto,
npm:graphql,npm-top,npm,graphql,category-d-blocked,2,345,"yieldOS bloqueó graphql: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:parse5,npm-top,npm,parse5,passthrough-or-allow,0,1164,,auto,
npm:busboy,npm-top,npm,busboy,passthrough-or-allow,0,1012,,auto,
npm:apollo-server-express,npm-top,npm,apollo-server-express,category-d-blocked,2,594,"yieldOS bloqueó apollo-server-express: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:zod,npm-top,npm,zod,passthrough-or-allow,0,13873,yieldOS instaló zod con advertencias (ver log),auto,
npm:redis-cli,npm-top,npm,redis-cli,category-d-blocked,2,539,"yieldOS bloqueó redis-cli: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@mdx-js/mdx,npm-top,npm,@mdx-js/mdx,passthrough-or-allow,0,2552,,auto,
npm:socket.io-client,npm-top,npm,socket.io-client,passthrough-or-allow,0,1786,,auto,
npm:node-html-parser,npm-top,npm,node-html-parser,build-script-not-approved,2,2200,yieldOS bloqueó node-html-parser: requiere aprobación de build scripts,auto,
npm:socket.io,npm-top,npm,socket.io,passthrough-or-allow,0,2061,yieldOS instaló socket.io con advertencias (ver log),auto,
npm:multer,npm-top,npm,multer,passthrough-or-allow,0,2096,yieldOS instaló multer con advertencias (ver log),auto,
npm:amqplib,npm-top,npm,amqplib,passthrough-or-allow,0,973,,auto,
npm:graphql-tag,npm-top,npm,graphql-tag,passthrough-or-allow,0,2116,,auto,
